CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
03.476.811/0741-98;DIA BRASIL SOCIEDADE LIMITADA;24001;31/12/2017;27,43;01/01/2018;0;Liberado
24.315.403/0001-98;DEMARCHI CHOPERIA LTDA ME;5501;31/12/2017;424,25;01/01/2018;0,43;Liberado
05.341.793/0001-26;EMPORIO CHAMA LTDA;347454;31/12/2017;103,99;01/01/2018;7,79;Liberado
00.924.432/0001-99;HOPI HARI S A;151423;30/12/2017;21,7;01/01/2018;0;Liberado
00.924.432/0001-99;HOPI HARI S A;226665;30/12/2017;25,7;31/12/2017;0;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;5784;30/12/2017;6,22;01/01/2018;0;Liberado
03.994.789/0001-31;CENTRO AUTOMOTIVO GRAVATINHA EIRELI;34996;30/12/2017;76;01/01/2018;2,49;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;6555;30/12/2017;18,12;31/12/2017;0;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;209558;30/12/2017;58,12;31/12/2017;18,42;Liberado
07.674.407/0001-43;MARIA DO SOCORRO PESSOA DANTAS ME;13376;30/12/2017;71;31/12/2017;0;Liberado
05.341.793/0001-26;EMPORIO CHAMA LTDA;346872;30/12/2017;68,35;31/12/2017;5,12;Liberado
57.513.434/0001-02;A A AFONSO e CIA LT;5002;29/12/2017;54,6;29/12/2017;45,78;Liberado
42.591.651/0780-96;ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA;106043;29/12/2017;6,5;30/12/2017;0;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;5560;29/12/2017;8,94;29/12/2017;0;Liberado
33.014.556/0257-76;LOJAS AMERICANAS S/A;7365;29/12/2017;19,28;29/12/2017;0;Liberado
02.125.785/0001-54;SHIN BUENO COM DE PRODS ALIMENTICIOS LTD;48938;29/12/2017;87,7;29/12/2017;0,24;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;40208;29/12/2017;100,05;29/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;24462;29/12/2017;147,59;29/12/2017;73,84;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27726;29/12/2017;147,59;29/12/2017;0;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;179718;29/12/2017;13,34;30/12/2017;0;Liberado
53.966.834/0237-59;TNG COMERCIO DE ROUPAS LTDA;72890;29/12/2017;79,98;24/01/2018;0;Liberado
45.543.915/0340-86;CARREFOUR COM E IND LTDA;24497;28/12/2017;121,11;28/12/2017;0;Liberado
17.097.298/0003-64;A2A FAST FOOD LTDA;47528;28/12/2017;32,03;28/12/2017;94,21;Liberado
57.513.434/0001-02;A A AFONSO e CIA LT;8717;28/12/2017;67,76;28/12/2017;56,82;Liberado
54.110.168/0001-89;CATARINA S SABATINI E CIA LTDA;109913;28/12/2017;148,6;28/12/2017;0,81;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;5386;28/12/2017;16,98;28/12/2017;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;4351;28/12/2017;440;28/12/2017;3,43;Liberado
03.667.884/0019-50;SERVICO SOCIAL DO COMERCIO SESC ADMINISTRACAO REG;5306;28/12/2017;9,67;28/12/2017;0;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;44696;28/12/2017;12,66;29/12/2017;0;Liberado
02.829.580/0004-00;CRG INDUSTRIA E COMERCIO DE ROUPAS LTDA;15177;28/12/2017;79,9;08/01/2018;0;Liberado
04.315.190/0015-92;SEGREDO DA MODA LTDA;12128;28/12/2017;189,98;28/02/2018;0;Liberado
61.412.110/0286-70;DROGARIA SAO PAULO S A;33746;27/12/2017;320,23;28/12/2017;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;39985;27/12/2017;30,02;27/12/2017;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;39984;27/12/2017;20;27/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;27689;27/12/2017;146,66;27/12/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;293472;27/12/2017;146,66;03/01/2018;73,37;Liberado
61.170.916/0001-84;L VERONESI CIA LTDA ME;14421;26/12/2017;11;26/12/2017;5,82;Liberado
03.667.884/0007-16;Servi?o Social do Com?rcio;44525;26/12/2017;14,4;27/12/2017;0;Liberado
07.170.938/0140-78;CNOVA COMERCIO ELETRONICO S/A;166339;26/12/2017;364,8;26/12/2017;0;Liberado
