CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
62.488.937/0011-87;COMERCIAL DELTA PONTO CERTO LTDA;128845;31/12/2018;59,79;31/12/2018;0;Liberado
52.504.024/0003-43;SUPERMERCADO PIERIM LTDA;22484;31/12/2018;180,27;31/12/2018;7,14;Liberado
61.585.865/0837-74;RAIA DROGASIL S A;16327;31/12/2018;39,9;31/12/2018;2,86;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1346;31/12/2018;90;31/12/2018;0,18;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;442093;31/12/2018;56,81;31/12/2018;19,73;Liberado
05.800.256/0016-83;ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS LTDA;68036;31/12/2018;355,3;31/12/2018;39,58;Liberado
61.325.700/0001-40;SUPERMERCADO PEPE;573684;31/12/2018;262,45;03/01/2019;229,46;Liberado
47.508.411/2358-97;COMPANHIA BRASILEIRA DE DISTRIBUICAO;463219;31/12/2018;154,33;20/01/2019;0;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;93569;31/12/2018;178,83;23/01/2019;3,09;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;93581;31/12/2018;48,09;23/01/2019;0,83;Liberado
47.508.411/1282-09;COMPANHIA BRASILEIRA DE DISTRIBUICAO;362498;30/12/2018;172,08;30/12/2018;2,33;Liberado
49.742.505/0001-10;BELA CINTRA DE PAES E DOCES LIMITADA;52888;30/12/2018;38,89;30/12/2018;3,69;Liberado
45.543.915/0230-41;CARREFOUR COM E IND LTDA;21764;30/12/2018;155,49;30/12/2018;0;Liberado
96.416.565/0001-23;ROMILDA DA ROCHA DOS SANTOS RESTAURANTE ME;181;30/12/2018;52,7;30/12/2018;0;Liberado
45.543.915/0230-41;CARREFOUR COM E IND LTDA;44323;30/12/2018;373,69;30/12/2018;0;Liberado
61.412.110/0324-30;DROGARIA SAO PAULO S A;17903;30/12/2018;22,9;30/12/2018;0;Liberado
12.423.402/0001-88;CONCRETO COMERCIO DE ALIMENTOS LTDA;16112;30/12/2018;147,97;30/12/2018;26,45;Liberado
61.189.288/0355-60;Marisa Lojas SA;22354;30/12/2018;59,95;30/12/2018;0;Liberado
61.412.110/0344-83;DROGARIA SAO PAULO S A;149967;30/12/2018;29,8;30/12/2018;0;Liberado
33.014.556/0055-89;LOJAS AMERICANAS S/A;32493;30/12/2018;28,48;30/12/2018;32,9;Liberado
